Model,Accuracy,F1,Precision,Recall,Latency(ms),Size(MB)
MobileNet_Raw,0.9423076923076923,0.9445219818562456,0.9096102150537635,0.9822206095791002,3.3066076360350944,5.927050590515137
MobileNet_Pre,0.9477503628447025,0.9495444989488437,0.9180216802168022,0.9833091436865021,2.524930913493318,5.927050590515137
MobileNet_Quant,0.9477503628447025,0.9495444989488437,0.9180216802168022,0.9833091436865021,7.288731494039859,4.232420921325684
